extension,mimeType
oa3,application/vnd.fujitsu.oasys3
oas,application/vnd.fujitsu.oasys
obd,application/x-msbinder
oda,application/oda
odb,application/vnd.oasis.opendocument.database
odc,application/vnd.oasis.opendocument.chart
odf,application/vnd.oasis.opendocument.formula
odft,application/vnd.oasis.opendocument.formula-template
odg,application/vnd.oasis.opendocument.graphics
odi,application/vnd.oasis.opendocument.image
odp,application/vnd.oasis.opendocument.presentation
ods,application/vnd.oasis.opendocument.spreadsheet
odt,application/vnd.oasis.opendocument.text
oga,audio/ogg
ogg,audio/ogg
ogv,video/ogg
ogx,application/ogg
onepkg,application/onenote
onetmp,application/onenote
onetoc,application/onenote
onetoc2,application/onenote
opf,application/oebps-package+xml
org,application/vnd.lotus-organizer
osf,application/vnd.yamaha.openscoreformat
osfpvg,application/vnd.yamaha.openscoreformat.osfpvg+xml
otc,application/vnd.oasis.opendocument.chart-template
otf,application/x-font-otf
otg,application/vnd.oasis.opendocument.graphics-template
oth,application/vnd.oasis.opendocument.text-web
oti,application/vnd.oasis.opendocument.image-template
otm,application/vnd.oasis.opendocument.text-master
otp,application/vnd.oasis.opendocument.presentation-template
ots,application/vnd.oasis.opendocument.spreadsheet-template
ott,application/vnd.oasis.opendocument.text-template
oxt,application/vnd.openofficeorg.extension
p,text/x-pascal
p10,application/pkcs10
p12,application/x-pkcs12
p7b,application/x-pkcs7-certificates
p7c,application/pkcs7-mime
p7m,application/pkcs7-mime
p7r,application/x-pkcs7-certreqresp
p7s,application/pkcs7-signature
pas,text/x-pascal
paw,application/vnd.pawaafile
pbd,application/vnd.powerbuilder6
pbm,image/x-portable-bitmap
pcf,application/x-font-pcf
pcl,application/vnd.hp-pcl
pclxl,application/vnd.hp-pclxl
pct,image/x-pict
pcurl,application/vnd.curl.pcurl
pcx,image/x-pcx
pdf,application/pdf
perl,application/perl
pfr,application/font-tdpfr
pfx,application/x-pkcs12
pgm,image/x-portable-graymap
pgn,application/x-chess-pgn
pgp,application/pgp-encrypted
php,application/x-httpd-php
php3,application/x-httpd-php
php4,application/x-httpd-php
php5,application/x-httpd-php
php6,application/x-httpd-php
phps,application/x-httpd-php-source
pic,image/x-pict
pki,application/pkixcmp
pl,application/perl
plb,application/vnd.3gpp.pic-bw-large
plc,application/vnd.mobius.plc
plf,application/vnd.pocketlearn
pls,application/pls+xml
plx,application/perl
pm,application/perl
pml,application/vnd.ctc-posml
png,image/png
pnm,image/x-portable-anymap
pot,application/vnd.ms-powerpoint
ppl,application/perl
pps,application/vnd.ms-powerpoint
ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow
ppt,application/vnd.ms-powerpoint
pptm,application/vnd.ms-powerpoint.presentation.macroenabled.12
pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
prc,application/x-mobipocket-ebook
pre,application/vnd.lotus-freelance
prf,application/pics-rules
ps,application/postscript
psb,application/vnd.3gpp.pic-bw-small
psd,image/vnd.adobe.photoshop
psf,application/x-font-linux-psf
ptid,application/vnd.pvi.ptid1
pub,application/x-mspublisher
pvb,application/vnd.3gpp.pic-bw-var
pwn,application/vnd.3m.post-it-notes
pya,audio/vnd.ms-playready.media.pya
pyv,video/vnd.ms-playready.media.pyv
qam,application/vnd.epson.quickanime
qbo,application/vnd.intu.qbo
qfx,application/vnd.intu.qfx
qps,application/vnd.publishare-delta-tree
qt,video/quicktime
rar,application/x-rar-compressed
ras,image/x-cmu-raster
rb,application/ruby
rcprofile,application/vnd.ipunplugged.rcprofile
rdf,application/rdf+xml
rdz,application/vnd.data-vision.rdz
reg,text/x-registry
rep,application/vnd.businessobjects
res,application/x-dtbresource+xml
rgb,image/x-rgb
rif,application/reginfo+xml
rl,application/resource-lists+xml
rlc,image/vnd.fujixerox.edmics-rlc
rld,application/resource-lists-diff+xml
rm,application/vnd.rn-realmedia
rmi,audio/midi
rmp,audio/x-pn-realaudio-plugin
rms,application/vnd.jcp.javame.midlet-rms
rnc,application/relax-ng-compact-syntax
rp9,application/vnd.cloanto.rp9
rpss,application/vnd.nokia.radio-presets
rpst,application/vnd.nokia.radio-preset
rq,application/sparql-query
rs,application/rls-services+xml
rsd,application/rsd+xml
rss,application/rss+xml
rtf,application/rtf
rtx,text/richtext
shtml,text/html
sig,application/pgp-signature
sis,application/vnd.symbian.install
sisx,application/vnd.symbian.install
sit,application/x-stuffit
sitx,application/x-stuffitx
skd,application/vnd.koan
skm,application/vnd.koan
skp,application/vnd.koan
skt,application/vnd.koan
sldm,application/vnd.ms-powerpoint.slide.macroenabled.12
sldx,application/vnd.openxmlformats-officedocument.presentationml.slide
slt,application/vnd.epson.salt
smf,application/vnd.stardivision.math
snd,audio/basic
spc,application/x-pkcs7-certificates
spx,audio/ogg
sql,text/x-sql
src,application/x-wais-source
srx,application/sparql-results+xml
sse,application/vnd.kodak-descriptor
ssf,application/vnd.epson.ssf
ssml,application/ssml+xml
st,application/vnd.sailingtracker.track
stc,application/vnd.sun.xml.calc.template
std,application/vnd.sun.xml.draw.template
stf,application/vnd.wt.stf
sti,application/vnd.sun.xml.impress.template
stk,application/hyperstudio
stl,application/vnd.ms-pki.stl
str,application/vnd.pg.format
stw,application/vnd.sun.xml.writer.template
svg,image/svg+xml
svgz,image/svg+xml
swf,application/x-shockwave-flash
swi,application/vnd.aristanetworks.swi
sxc,application/vnd.sun.xml.calc
sxd,application/vnd.sun.xml.draw
sxg,application/vnd.sun.xml.writer.global
sxi,application/vnd.sun.xml.impress
sxm,application/vnd.sun.xml.math
sxw,application/vnd.sun.xml.writer
tar,application/x-tar
tbz,application/x-bzip
text,text/plain
tfm,application/x-tex-tfm
tgz,application/x-gzip
tgz,application/x-tar
tif,image/tiff
tiff,image/tiff
torrent,application/x-bittorrent
tpl,application/vnd.groove-tool-template
tpt,application/vnd.trid.tpt
tra,application/vnd.trueapp
trm,application/x-msterminal
tsv,text/tab-separated-values
ttc,application/x-font-ttf
ttf,application/x-font-ttf
txd,application/vnd.genomatix.tuxedo
txf,application/vnd.mobius.txf
txt,text/plain
udeb,application/x-debian-package
vbs,text/vbscript
vcd,application/x-cdlink
vcf,text/x-vcard
vcg,application/vnd.groove-vcard
vcs,text/x-vcalendar
vcx,application/vnd.vcx
vis,application/vnd.visionary
viv,video/vnd.vivo
vxml,application/voicexml+xml
wad,application/x-doom
wav,audio/x-wav
wax,audio/x-ms-wax
wbmp,image/vnd.wap.wbmp
wbs,application/vnd.criticaltools.wbs+xml
wbxml,application/vnd.wap.wbxml
wg,application/vnd.pmi.widget
wm,video/x-ms-wm
wma,audio/x-ms-wma
wmd,application/x-ms-wmd
wmf,application/x-msmetafile
wml,text/vnd.wap.wml
wmlc,application/vnd.wap.wmlc
wmls,text/vnd.wap.wmlscript
wmlsc,application/vnd.wap.wmlscriptc
wmv,video/x-ms-wmv
wmx,video/x-ms-wmx
wmz,application/x-ms-wmz
wpd,application/vnd.wordperfect
wpl,application/vnd.ms-wpl
wsdl,application/wsdl+xml
wspolicy,application/wspolicy+xml
wtb,application/vnd.webturbo
wvx,video/x-ms-wvx
x3d,application/vnd.hzn-3d-crossword
xap,application/x-silverlight-app
xar,application/vnd.xara
xbap,application/x-ms-xbap
xbd,application/vnd.fujixerox.docuworks.binder
xbm,image/x-xbitmap
xdm,application/vnd.syncml.dm+xml
xdp,application/vnd.adobe.xdp+xml
xdssc,application/dssc+xml
xdw,application/vnd.fujixerox.docuworks
xenc,application/xenc+xml
xer,application/patch-ops-error+xml
xfdf,application/vnd.adobe.xfdf
xfdl,application/vnd.xfdl
xht,application/xhtml+xml
xhtml,application/xhtml+xml
xhvml,application/xv+xml
xif,image/vnd.xiff
xla,application/vnd.ms-excel
xlam,application/vnd.ms-excel.addin.macroenabled.12
xlc,application/vnd.ms-excel
xlm,application/vnd.ms-excel
xls,application/vnd.ms-excel
xlsb,application/vnd.ms-excel.sheet.binary.macroenabled.12
xlsm,application/vnd.ms-excel.sheet.macroenabled.12
xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xlt,application/vnd.ms-excel
xltm,application/vnd.ms-excel.template.macroenabled.12
xltx,application/vnd.openxmlformats-officedocument.spreadsheetml.template
xlw,application/vnd.ms-excel
xml,application/xml
xo,application/vnd.olpc-sugar
xop,application/xop+xml
xpi,application/x-xpinstall
xpm,image/x-xpixmap
xpr,application/vnd.is-xpr
xps,application/vnd.ms-xpsdocument
xsl,application/xml
xsm,application/vnd.syncml+xml
xspf,application/xspf+xml
xul,application/vnd.mozilla.xul+xml
xvm,application/xv+xml
xvml,application/xv+xml
xwd,image/x-xwindowdump
xyz,chemical/x-xyz
zaz,application/vnd.zzazz.deck+xml
zip,application/zip
